src_ip,dst_ip,src_port,dst_port,protocol,bytes,attack_type
192.168.1.221,149.154.167.51,53896,443,TCP,303,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53904,443,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53921,80,TCP,174,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53920,80,TCP,314,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.51,53908,443,TCP,303,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53911,443,TCP,383,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53903,443,TCP,159,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53907,443,TCP,383,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53906,443,TCP,351,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,443,53898,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,80,53914,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,80,53915,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,80,53917,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,80,53912,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,80,53926,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,80,53916,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,80,53918,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,80,53927,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,80,53913,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,80,53923,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,80,53919,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,80,53920,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,80,53925,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,80,53922,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,80,53924,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.51,192.168.1.221,80,53921,TCP,54,DDOS_OR_BRUTE_FORCE
149.154.167.41,192.168.1.221,80,53915,TCP,54,DDOS_OR_BRUTE_FORCE
192.168.1.221,149.154.167.41,53915,80,TCP,54,DDOS_OR_BRUTE_FORCE
